TICKET_ID,CUSTOMER_NAME,CUSTOMER_EMAIL,SERVICE_TYPE,REQUEST,CONTACT_PREFERENCE
TR8951,Keith,Keith.R@tablet.com,Cellular,"Good day. I am writing to request the termination of my account linked to my email effective June 2024. Your services have been excellent, but I will no longer need them. Kindly confirm receipt of this request and let me know if there are any additional steps needed. Thank you.",Email
TR9018,Carolyn,Carolyn.R@pen.com,Business Internet,"Greetings, I am writing to request the closure of my account associated with my email effective June 2024. I have enjoyed the services provided thus far, but I will no longer require them from that date. Please confirm the receipt of this request and let me know if there are any steps I need to take prior to the account closure. Thank you.",Text Message
TR9118,Steven,Steven.R@door.com,Cellular,"I am writing to dispute the $200 in extra charges on my recent bill. I traveled to Europe for three weeks, and despite keeping my phone usage minimal, I was charged for ""data roaming"" and ""international call fees."" These charges were not communicated to me beforehand. I request a breakdown of these fees and a refund.",Text Message
TR9167,James,janderson@monitor.com,Cellular,I would like to request the addition of a new line to my existing cell phone plan. I kindly ask that the new line be activated within 14 days of this request. Please let me know if there are any additional steps or information needed to facilitate this process. Thank you for your prompt attention to this matter.,Text Message
TR9221,Wilson,dwilson@graphics.biz,Cellular,"I am writing to express my dissatisfaction with the slow internet speed I've been experiencing with my cell phone plan. Despite paying for a high-speed data package, I've been consistently getting subpar performance, which has significantly affected my ability to work and stream online.

I kindly request an explanation for this issue and a prompt resolution. Considering the inconvenience caused, I believe it would be fair to receive some form of compensation, such as a discount on my next bill or a data upgrade.

I look forward to your prompt response and resolution to this matter.

Thank you",Text Message
TR926,Anna,Anna.B@cup.com,Cellular,My recent trip to Europe resulted in a $110 charge for international voice calls. These charges were not explained beforehand. Please refund this amount.,Text Message
TR9270,Edward,Edward.G@remote.com,Cellular,"During my trip to Asia, I was charged $80 for international data usage. These charges were not communicated to me. I request a refund for these fees.",Email
TR9299,Beverly,Beverly.W@tablet.com,Cellular,"I traveled to Japan for a short trip and kept my phone usage minimal. However, I was charged $135 in international fees. These charges were not communicated to me beforehand. I request a detailed breakdown and a refund. Thank you for your assistance.",Email
TR9339,Diane,Diane.S@phone.com,Cellular,I noticed a $135 fee for international roaming on my bill from my recent trip to North America. These charges were not clearly explained. Please refund this amount.,Text Message
TR9420,Elizabeth,eharris@network.biz,Business Internet,"I am experiencing consistently slow data speeds on my connection. Can you investigate and resolve this issue? Despite having a stable connection, my data speeds are unusually slow. How can this issue be resolved? My data speeds have become unbearably slow. What steps can be taken to improve this?",Email
TR9483,Maria,Maria.C@vase.com,Cellular,"I traveled to Australia for a business trip and kept my phone usage minimal. However, I was charged $110 in international fees. These charges were not communicated to me beforehand. I request a detailed breakdown and a refund. Thank you for your assistance.",Email
TR9570,Donna,Donna.T@sofa.com,Cellular,"Despite having a stable connection, my data speeds are unusually slow. How can this issue be resolved? My data speeds have become unbearably slow. What steps can be taken to improve this? Please investigate the slow data speeds on my account and provide a timeline for resolution.",Email
TR962,Carolyn,Carolyn.W@vase.com,Cellular,"Hi, I am writing to request that my account associated with my email be closed effective June 2024. Your services have been appreciated, but I will no longer require them. Please confirm the receipt of this message and let me know if there are any further actions needed on my part. Thank you.",Text Message
TR966,Daniel,Daniel.L@window.com,Cellular,I would like to add an additional line to my existing plan. Can you provide information on the process and any associated fees? Could you assist me in adding a new line to my account? I need it activated as soon as possible. I wish to add another line to my plan for a family member. Please confirm the steps required for this.,Text Message
TR9667,Benjamin,Benjamin.M@pen.com,Business Internet,"Hi there, I would like to add a new line to my existing cell phone plan. Please activate it within the next 5 days. If there are any further steps or details required, kindly inform me. Thanks for your prompt attention to this matter.",Text Message
TR9701,Victoria,Victoria.K@chair.com,Cellular,"I traveled to Japan for a business trip and kept my phone usage to a minimum. However, I was charged $80 in international fees. These charges were not communicated to me beforehand. I request a detailed breakdown and a refund. Thank you for your assistance.",Email
TR9701,Frank,Frank.B@pencil.com,Cellular,"After a short trip to the Caribbean, I noticed an extra $90 in international fees on my bill. These charges were not clearly communicated to me, and I believe they are unjustified. Please provide a detailed breakdown and consider refunding these fees. Thank you for your assistance.",Email
TR9786,Rachel,rgreen@hardware.net,Business Internet,I would like to request the addition of a new line to my existing cell phone plan. I kindly ask that the new line be activated within 14 days of this request. Please let me know if there are any additional steps or information needed to facilitate this process. Thank you for your prompt attention to this matter.,Text Message
TR9791,Karen,Karen.W@remote.com,Cellular,My data speeds have been significantly slower than usual. Please provide assistance in troubleshooting this problem. I have noticed a drastic drop in data speeds lately. Could you please look into this and provide a solution? Please address the slow data speeds I am experiencing. It is affecting my ability to work efficiently.,Email
TR9798,Alexander,Alexander.M@pencil.com,Cellular,I have been billed $95 for international messaging from my trip to Asia. These charges were unexpected and not clearly communicated. Please issue a refund.,Email
TR9836,Emily,Emily.J@keyboard.com,Cellular,My data speeds have been significantly slower than usual. Please provide assistance in troubleshooting this problem. I have noticed a drastic drop in data speeds lately. Could you please look into this and provide a solution? Please address the slow data speeds I am experiencing. It is affecting my ability to work efficiently.,Email
TR9840,Debra,Debra.N@tablet.com,Cellular,My recent trip to Europe resulted in a $130 charge for international data usage. I was not informed about these charges beforehand. Please refund this amount.,Text Message
TR9848,Brian,Brian.C@mirror.com,Cellular,I would like to close my account as I am no longer using the services. Please confirm the steps required to complete this process. Could you assist me in closing my account? I have found another provider that better meets my needs. I wish to close my account due to relocation. Can you guide me through the necessary steps?,Text Message
TR9992,Debra,Debra.P@phone.com,Cellular,"Hello, I hope this message finds you well. I am requesting the closure of my account under my email effective June 2024. I have been satisfied with the services but will no longer require them. Please confirm receipt and inform me if there are any further steps to take. Thank you for your prompt attention.",Text Message
